Url,Ip,Holder,Asn
google.de,2a00:1450:4001:818::2003,GOOGLE - Google LLC,15169
canva.com,2606:4700::6810:5016,CLOUDFLARENET - Cloudflare,13335
instagram.com,2406:da00:ff00::36d1:a71a,AMAZON-AES - Amazon.com,14618
youtube.com,2a00:1450:4001:808::200e,GOOGLE - Google LLC,15169
google.ru,2a00:1450:4001:80b::2003,GOOGLE - Google LLC,15169
google.co.in,2a00:1450:4001:825::2003,GOOGLE - Google LLC,15169
blogspot.com,2a00:1450:4001:809::2009,GOOGLE - Google LLC,15169
google.com.hk,2a00:1450:4001:817::2003,GOOGLE - Google LLC,15169
google.es,2a00:1450:4001:806::2003,GOOGLE - Google LLC,15169
